                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.3115,                 0.7383,                 1.2015,                0.60823,                0.60225,                0.64906,                 0.4118,                 1.2804,                 0.5977,                 1.2059,                0.00307,                0.00307,                0.00307
                     37,                 1.3022,                0.73505,                 1.1971,                0.61611,                0.59661,                 0.6496,                0.41354,                 1.2765,                0.59609,                 1.2037,               0.002872,               0.002872,               0.002872
                     38,                  1.295,                0.72625,                 1.1914,                0.61407,                0.59763,                0.65109,                0.41451,                 1.2752,                0.59445,                 1.2024,               0.002674,               0.002674,               0.002674
                     39,                 1.2935,                0.72228,                 1.1909,                0.63786,                0.61689,                0.65186,                0.41511,                 1.2743,                0.59315,                 1.2015,               0.002476,               0.002476,               0.002476
                     40,                 1.2938,                0.72117,                 1.1871,                0.67662,                0.61778,                0.65412,                0.41698,                  1.274,                0.59274,                 1.2006,               0.002278,               0.002278,               0.002278
                     41,                 1.2737,                0.63141,                 1.2152,                0.67826,                 0.6152,                0.65629,                0.41804,                 1.2711,                0.58991,                 1.1988,                0.00208,                0.00208,                0.00208
                     42,                 1.2647,                0.62276,                 1.2161,                0.67719,                 0.6146,                  0.658,                0.41989,                 1.2691,                0.58768,                 1.1978,               0.001882,               0.001882,               0.001882
                     43,                 1.2561,                0.61563,                 1.2031,                0.68303,                0.62322,                0.66043,                0.42205,                 1.2671,                0.58619,                 1.1963,               0.001684,               0.001684,               0.001684
                     44,                 1.2457,                0.60854,                 1.1978,                0.69632,                0.62336,                0.66249,                0.42396,                 1.2648,                0.58517,                 1.1945,               0.001486,               0.001486,               0.001486
                     45,                 1.2392,                0.60433,                 1.1939,                0.70668,                0.62344,                 0.6644,                 0.4256,                 1.2626,                0.58302,                 1.1929,               0.001288,               0.001288,               0.001288
                     46,                 1.2297,                0.59889,                 1.1911,                0.71756,                0.61895,                0.66641,                0.42723,                 1.2598,                0.58164,                 1.1915,                0.00109,                0.00109,                0.00109
                     47,                 1.2226,                0.59272,                  1.183,                0.63201,                0.64884,                0.66993,                0.42967,                 1.2586,                0.58079,                 1.1905,               0.000892,               0.000892,               0.000892
                     48,                  1.217,                0.58956,                 1.1793,                0.63606,                0.66527,                0.67152,                0.43059,                 1.2578,                0.58001,                 1.1898,               0.000694,               0.000694,               0.000694
                     49,                  1.209,                0.58467,                 1.1752,                0.64204,                0.66679,                0.67454,                0.43348,                 1.2565,                0.57877,                 1.1889,               0.000496,               0.000496,               0.000496
                     50,                 1.2019,                0.57883,                 1.1716,                0.64707,                0.67261,                0.67645,                0.43479,                 1.2557,                0.57838,                 1.1883,               0.000298,               0.000298,               0.000298
